name,kind,spearman,mae,rmse,relative_l2_variance_ratio_internal,relative_l2,relative_l2_definition,high_judge_mae,high_judge_n,alpha,lambda_error,lambda_judge,spearman_drop_from_teacher,eligible
global_linear_calibration,linear,0.9584890142941312,3.3568777421108744,4.584394775051255,0.0839742201329523,0.3065514284685355,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.496038575670611,67,,,,-0.0006852753125174971,True
same_action_reference_residual,reference,0.9523671578076123,3.506348400271036,4.752219790333636,0.09023499500502251,0.3294066509084032,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.5256534686729086,67,,,,0.005436581174001476,True
plain_ridge_alpha_10,plain_ridge,0.9592399747620836,3.309456541661808,4.480107731248164,0.08019713919172569,0.29276303536240017,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.3714385461840592,67,10.0,0.0,0.0,-0.0014362357804698078,True
risk_ridge_a10_le0.5_lj0.5,risk_ridge,0.9592135812723543,3.3228508811534896,4.487505089167525,0.08046219385113487,0.29373062856345017,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.3733339769571113,67,10.0,0.5,0.5,-0.0014098422907405928,True
risk_ridge_a10_le0.5_lj1,risk_ridge,0.9593284705805873,3.328684510892321,4.492004049895997,0.0806236099178539,0.2943198847155425,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.3722708122888143,67,10.0,0.5,1.0,-0.0015247315989735943,True
risk_ridge_a10_le1_lj0.5,risk_ridge,0.9592374667834215,3.3272439271161143,4.489072405300025,0.08051840848026659,0.2939358424354442,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.373166981039206,67,10.0,1.0,0.5,-0.001433727801807727,True
risk_ridge_a10_le1_lj1,risk_ridge,0.959276041883795,3.3318280748750366,4.492505580834206,0.08064161412780818,0.29438560984250634,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.371793036718865,67,10.0,1.0,1.0,-0.001472302902181255,True
plain_ridge_alpha_100,plain_ridge,0.9592375862109769,3.3106472884130658,4.490562571822604,0.08057187420362152,0.29413102131108726,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.3208428831631993,67,100.0,0.0,0.0,-0.0014338472293631277,True
risk_ridge_a100_le0.5_lj0.5,risk_ridge,0.9591169643800874,3.323183381984509,4.49845425932996,0.08085531609344257,0.29516573787141853,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.3260634047715953,67,100.0,0.5,0.5,-0.001313225398473672,True
risk_ridge_a100_le0.5_lj1,risk_ridge,0.9591652131124433,3.3273013809852308,4.5025754850802935,0.08100353396181291,0.29570681344439254,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.3236735366396024,67,100.0,0.5,1.0,-0.001361474130829543,True
risk_ridge_a100_le1_lj0.5,risk_ridge,0.9593178415281627,3.329809979463454,4.500894328634131,0.08094305560199833,0.2954860346439078,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.3327819667311727,67,100.0,1.0,0.5,-0.0015141025465489344,True
risk_ridge_a100_le1_lj1,risk_ridge,0.9591824106804115,3.3330766650951564,4.504313706373451,0.08106608893568104,0.2959351730119685,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.330264015328971,67,100.0,1.0,1.0,-0.0013786716987977954,True
plain_ridge_alpha_1000,plain_ridge,0.9589455858381806,3.329850173013884,4.521164868503035,0.08167377889146821,0.2981535707978317,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.3588679289306254,67,1000.0,0.0,0.0,-0.0011418468565668194,True
risk_ridge_a1000_le0.5_lj0.5,risk_ridge,0.9589558566079395,3.3344828012797643,4.523872768123498,0.08177164332828031,0.29851082904748893,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.3529383598368097,67,1000.0,0.5,0.5,-0.0011521176263257216,True
risk_ridge_a1000_le0.5_lj1,risk_ridge,0.9590228554664828,3.3360062419683696,4.52577695028602,0.08184049622615197,0.29876217945197425,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.344696188662477,67,1000.0,0.5,1.0,-0.0012191164848690539,True
risk_ridge_a1000_le1_lj0.5,risk_ridge,0.9590862714983662,3.336655704578369,4.52480453597202,0.08180533129370841,0.2986338083845738,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.3548819712738465,67,1000.0,1.0,0.5,-0.001282532516752477,True
risk_ridge_a1000_le1_lj1,risk_ridge,0.9589990893829711,3.3378995418439534,4.526423231019948,0.08186387153299107,0.29884751199440296,100 * mean(((prediction-target)/(max(target)-min(target)))^2),3.3466754400352023,67,1000.0,1.0,1.0,-0.0011953504013573202,True
