clip_uid,official_split,analysis_role,source_role,event_family,action_type,difficulty,dive_score,execution_quality,judge_sample_sd,disagreement_primary_eligible,teacher_predicted_score,global_linear_predicted_score,same_action_reference_predicted_score,plain_ridge_predicted_score,trustdive_predicted_quality,trustdive_predicted_score,teacher_adapter_gap,reference_distance,reference_dispersion,valid_reference_count,open_set,teacher_uncertainty,prediction_interval_width,teacher_error,ours_error,error_gain,reference_baseline,predicted_quality,phi_takeoff,phi_flight,phi_entry,top_phase,actual_max_intervention_phase,top_phase_intervention_match,targeted_intervention_effect,random_intervention_effect,phase_boundary_cosine,phase_boundary_top_match,reference_change_cosine,coalition_0,coalition_1,coalition_2,coalition_3,coalition_4,coalition_5,coalition_6,coalition_7,high_judge_risk,review_priority,review_reason,paired_mae_difference
01::1,test,official_test,source_fit,01,407c,3.2,88.0,9.166666666666666,0.4498677054212186,True,84.05382385253907,83.05666809082032,85.4453338623047,85.21321256160738,8.83706422150135,84.83581652641297,0.7819926738739014,4.2047094e-07,0.2482483,5,False,0.0,11.60074446495895,3.946176147460932,3.1641834735870304,0.7819926738739014,8.352567,8.837064,0.09975513,0.025378546,0.3593634,entry,entry,True,0.3449840545654297,0.3449840545654297,0.99471277,1.0,0.972768,8.352567,8.450572,8.375177,8.49208,8.724746,8.810481,8.737123,8.837064,True,0.4953560371517028,routine automatic scoring,-0.7819926738739014
01::8,test,official_test,source_fit,01,6245d,3.6,77.4,7.166666666666667,0.3933978962347216,True,79.71482620239259,80.44252452850343,82.53239707946778,83.18152588605881,7.602175235748291,82.10349254608155,2.3886663436889677,5.7272796e-06,0.2440639,5,False,0.0,11.561856290036387,2.314826202392581,4.703492546081549,-2.3886663436889677,7.295438,7.602175,0.14503288,0.037026405,0.124678135,takeoff,takeoff,True,0.1445603370666504,0.1445603370666504,0.7459439,0.5,-0.4740694,7.295438,7.443519,7.359204,7.497634,7.4428287,7.5893126,7.457615,7.602175,True,0.7306501547987616,routine automatic scoring,2.3886663436889677
01::9,test,official_test,source_fit,01,107b,3.0,61.5,6.833333333333333,0.37796447300922725,True,56.41779041290283,58.27141571044922,58.75285720825195,60.601606249809265,6.661391913890839,59.95252722501755,3.5347368121147156,3.5234447e-07,0.39579472,5,False,0.0,12.97198477566734,5.082209587097168,1.5474727749824524,3.5347368121147156,6.640008,6.6613917,0.29595003,0.067224346,-0.3417906,entry,takeoff,False,0.28392553329467773,0.3465890884399414,0.9482715,0.5,0.987187,6.640008,6.9030337,6.673001,6.9453173,6.258067,6.542221,6.3148026,6.6613917,False,0.7832817337461301,teacher-adapter difference,-3.5347368121147156
01::11,test,official_test,source_fit,01,107b,3.0,72.0,8.0,0.34503277967117707,True,72.65057945251465,72.48190498352051,74.53879451751709,71.18827034533024,7.97803919762373,71.80235277861357,0.8482266739010811,1.1985098e-07,0.3696825,5,False,0.0,12.729307663087113,0.6505794525146484,0.19764722138643265,0.4529322311282158,7.9094453,7.9780393,-0.045943182,0.0651234,0.04941376,flight,takeoff,False,0.04084014892578125,0.14876890182495117,0.6061875,0.5,-0.14827125,7.9094453,7.941198,7.973722,7.871583,7.8766866,7.937199,8.126808,7.9780393,False,0.47368421052631576,routine automatic scoring,-0.4529322311282158
01::15,test,official_test,source_fit,01,107b,3.0,76.5,8.5,0.34503277967117707,True,72.45086860656738,72.3070764541626,72.74979972839355,70.92341105639935,7.951097376644611,71.5598763898015,0.8909922167658806,3.596326e-08,0.4612241,5,False,0.0,13.580060613999606,4.049131393432617,4.940123610198498,-0.8909922167658806,8.039658,7.9510975,-0.08360648,-0.02638483,0.021431208,takeoff,takeoff,True,0.12665557861328125,0.005948543548583984,0.9216197,1.0,-0.5337365,8.039658,7.983851,8.017444,7.945149,8.061322,7.9969025,8.077753,7.9510975,False,0.4613003095975232,routine automatic scoring,0.8909922167658806
01::17,test,official_test,source_fit,01,5152b,2.9,72.5,8.333333333333334,0.2672612419124244,True,72.14074687957763,71.73951387405396,71.33614854812622,72.06888801902532,8.299691647291183,72.20731733143329,0.0665704518556538,5.229739e-07,0.5796706,5,False,0.0,14.680857286861047,0.3592531204223661,0.2926826685667123,0.0665704518556538,8.129551,8.299691,0.11271397,0.00040976205,0.057016533,takeoff,takeoff,True,0.07031726837158203,0.030719757080078125,0.40243638,0.5,0.85405475,8.129551,8.269226,8.145655,8.275524,8.203981,8.330411,8.229374,8.299691,False,0.6501547987616099,wide prediction interval,-0.0665704518556538
01::21,test,official_test,source_fit,01,109c,3.7,81.4,7.333333333333333,0.5669467095138409,True,72.7519500732422,74.6431640625,72.84324188232422,80.6066031396389,7.056832432746887,78.33084000349047,5.578889930248266,1.0632807e-06,0.3757712,5,False,0.0,12.785893759032446,8.648049926757807,3.0691599965095406,5.578889930248266,6.614813,7.0568323,0.73007697,0.1601445,-0.44820198,takeoff,takeoff,True,0.8609967231750488,0.3095564842224121,0.9199585,0.5,0.9971167,6.614813,7.2494683,6.755726,7.366389,6.0634637,6.841958,6.1958356,7.0568323,True,0.9009287925696594,teacher-adapter difference; predicted high judge disagreement,-5.578889930248266
01::33,test,official_test,source_fit,01,636c,3.4,91.8,9.0,0.3933978962347216,True,79.79190988540648,79.91785640716552,79.79190988540648,79.79190988540648,7.8227362632751465,79.79190988540648,0.0,0.00031792678,2.4902308,2,True,0.0,32.436876392662555,12.008090114593514,12.008090114593514,0.0,,,,,,open_set,open_set,False,,,,,,,,,,,,,,True,1.0,insufficient similar references; wide prediction interval; phase boundary ambiguity; predicted high judge disagreement,0.0
01::45,test,official_test,source_fit,01,5156b,3.8,81.7,7.166666666666668,0.5563486402641868,True,80.92031536102294,82.0899782180786,79.83116970062255,82.98785035014151,7.224791318178177,82.3626210272312,1.4423056662082558,1.8400378e-06,0.5225697,5,False,0.0,14.15018333298809,0.7796846389770593,0.6626210272311965,0.11706361174586277,7.05549,7.2247915,0.1489137,0.07177933,-0.051391523,takeoff,takeoff,True,0.11691093444824219,0.06188821792602539,0.8966898,0.5,-0.1830715,7.05549,7.2288303,7.121772,7.2866797,7.007019,7.155091,7.1078806,7.2247915,True,0.5913312693498453,wide prediction interval,-0.11706361174586277
01::54,test,official_test,source_fit,01,6243d,3.2,81.6,8.499999999999998,0.1889822365046136,True,83.50841674804688,82.57921142578127,84.55560607910158,84.37929897308351,8.777819655835629,84.26706869602205,0.7586519479751672,1.3435181e-06,0.21055353,5,False,0.0,11.25042364890045,1.9084167480468892,2.6670686960220564,-0.7586519479751672,8.57609,8.77782,0.030117035,0.020800114,0.15081263,entry,entry,True,0.14829349517822266,0.028601646423339844,0.35890135,0.5,0.95168835,8.57609,8.610394,8.600169,8.629526,8.732093,8.7576275,8.749218,8.77782,False,0.4891640866873065,routine automatic scoring,0.7586519479751672
01::56,test,official_test,source_fit,01,407b,3.5,71.75,6.833333333333333,0.39339789623472154,True,67.17509722709656,69.168936252594,68.2288863658905,69.74196667224169,6.587008595466614,69.16359025239944,1.988493025302887,6.762148e-05,0.6092746,4,False,0.0,14.955985758116546,4.574902772903442,2.5864097476005554,1.988493025302887,8.07085,6.5870085,-0.04297884,0.16731898,-1.6081821,entry,entry,True,1.4339513778686523,0.06207466125488281,0.9974282,1.0,1.0,8.07085,8.035676,8.06797,8.02096,6.2771463,6.260782,6.649083,6.5870085,False,0.9752321981424149,wide prediction interval; predicted high judge disagreement,-1.988493025302887
01::66,test,official_test,source_fit,01,207b,3.6,100.8,9.333333333333332,0.37796447300922725,True,92.98254776000977,92.05733757019044,93.32449722290039,93.7522936552763,8.644579894840717,93.36146286427976,0.37891510426999275,6.282837e-07,0.2418704,5,False,0.0,11.541470776653222,7.8174522399902315,7.438537135720239,0.37891510426999275,8.203345,8.64458,-0.017073631,-0.024560452,0.48286867,entry,entry,True,0.49054718017578125,0.006463050842285156,0.9881214,1.0,0.9995018,8.203345,8.173508,8.160186,8.154033,8.676382,8.652695,8.651043,8.64458,False,0.6965944272445821,routine automatic scoring,-0.37891510426999275
01::68,test,official_test,source_fit,01,109c,3.7,83.25,7.499999999999999,0.408248290463863,True,92.16826972961427,91.64057893753053,92.42866945266725,92.081173530221,8.3358343988657,92.52776182740928,0.35949209779501246,4.2738301e-07,0.49600637,5,False,0.0,13.903313703732515,8.918269729614266,9.277761827409279,-0.35949209779501246,8.197263,8.3358345,0.022316137,-0.08302387,0.19927947,entry,entry,True,0.1797351837158203,0.0637960433959961,0.1185909,0.5,0.9605912,8.197263,8.263557,8.094783,8.156099,8.415858,8.399631,8.357725,8.3358345,True,0.6501547987616099,phase boundary ambiguity,0.35949209779501246
01::74,test,official_test,source_fit,01,6245d,3.6,57.6,5.333333333333333,0.6362090102803518,True,86.57507400512696,86.4481201171875,84.24738178253175,87.37380409240723,8.0701202750206,87.15729897022248,0.58222496509552,8.266799e-07,0.27386552,5,False,0.0,11.838821220419582,28.975074005126963,29.557298970222483,-0.58222496509552,8.375792,8.07012,0.004510959,-0.36202088,0.051838238,flight,flight,True,0.30548572540283203,0.09984827041625977,0.1467006,0.0,0.22723503,8.375792,8.383143,7.962434,7.9702716,8.384818,8.375606,8.0632515,8.07012,True,0.6811145510835913,phase boundary ambiguity,0.58222496509552
01::77,test,official_test,source_fit,01,626c,3.3,75.9,7.666666666666669,0.5773502691896257,True,79.07630853652952,78.99532985687254,79.52046861648559,80.16706388890742,8.083139792084694,80.02308394163846,0.9467754051089372,1.6936655e-06,0.34240514,5,False,0.0,12.475802352090895,3.1763085365295183,4.1230839416384555,-0.9467754051089372,8.0860405,8.083139,0.17294519,0.010007541,-0.1858538,entry,takeoff,False,0.1694631576538086,0.18447589874267578,0.94608337,1.0,0.68693864,8.0860405,8.247102,8.099203,8.252603,7.883443,8.07664,7.8986635,8.083139,True,0.5139318885448917,routine automatic scoring,0.9467754051089372
01::80,test,official_test,source_fit,01,207c,3.3,64.35,6.5,0.34503277967117707,True,75.09809989929198,75.51273207664488,74.97123141288756,75.26544105559586,7.594910904765129,75.18961795717476,0.09151805788278011,4.8457696e-07,0.48396358,5,False,0.0,13.791392591832768,10.748099899291987,10.839617957174767,-0.09151805788278011,7.2135267,7.594911,-0.05146885,0.17299867,0.25985456,entry,entry,True,0.24746131896972656,0.051989078521728516,0.79841185,0.5,0.9937096,7.2135267,7.1614122,7.4017377,7.34745,7.4846087,7.4382906,7.6469,7.594911,False,0.5727554179566563,routine automatic scoring,0.09151805788278011
01::90,test,official_test,source_fit,01,307c,3.4,94.05,9.220588235294118,0.34503277967117707,True,87.60713596343993,86.75945434570312,84.40626068115233,87.18806724250317,8.539616487920284,87.10408817678689,0.5030477866530418,-5.276285e-08,0.2649104,5,False,0.0,11.755595734479398,6.442864036560067,6.945911823213109,-0.5030477866530418,8.659338,8.539617,-0.01075999,-0.008117358,-0.10084406,entry,entry,True,0.09520244598388672,0.0016241073608398438,0.6324946,0.5,-0.99690914,8.659338,8.644376,8.644463,8.634819,8.5525875,8.541241,8.546439,8.539617,False,0.42105263157894735,routine automatic scoring,0.5030477866530418
01::100,test,official_test,source_fit,01,307c,3.4,74.25,7.279411764705883,0.0,True,84.27824707031249,83.84527702331542,82.4566795349121,84.37455297857522,8.26843149960041,84.33800129592419,0.059754225611698075,8.685521e-08,0.48192158,5,False,0.0,13.772415062760839,10.028247070312489,10.088001295924187,-0.059754225611698075,7.8450813,8.268432,0.021944284,0.09387493,0.30753112,entry,entry,True,0.3116445541381836,0.023703575134277344,0.9635738,1.0,0.9832076,7.8450813,7.8666306,7.9396844,7.956787,8.149863,8.173921,8.244728,8.268432,False,0.6873065015479877,routine automatic scoring,0.059754225611698075
01::102,test,official_test,source_fit,01,207c,3.3,37.95,3.8333333333333344,0.5773502691896257,True,70.36485028266905,71.36915774345397,69.12902612686156,71.63467179983853,7.191357269883156,71.19443697184323,0.8295866891741781,6.3512664e-07,0.23645245,5,False,0.0,11.491118338404515,32.41485028266905,33.24443697184323,-0.8295866891741781,6.8189898,7.191357,0.13037689,0.031268913,0.21072157,entry,entry,True,0.21849346160888672,0.1482386589050293,0.32108238,0.0,0.51927257,6.8189898,6.927888,6.81987,6.9728637,7.0183225,7.1333165,7.0431185,7.191357,True,0.5015479876160991,phase boundary ambiguity,0.8295866891741781
01::103,test,official_test,source_fit,01,6243d,3.2,64.0,6.666666666666666,0.37796447300922725,True,61.34478149414063,63.176742553710945,63.806561279296886,65.63281345367433,6.8298909068107605,65.56695270538331,4.2221712112426815,2.4699561e-06,0.6115265,5,False,0.0,14.976913720063406,2.6552185058593665,1.566952705383315,1.0882658004760515,6.798425,6.8298907,0.19423015,0.0015247663,-0.1642894,takeoff,takeoff,True,0.2076129913330078,0.2076129913330078,0.7619574,0.0,0.9237444,6.798425,6.977392,6.794627,6.981214,6.6192894,6.8249235,6.6222777,6.8298907,False,0.8111455108359134,wide prediction interval; teacher-adapter difference,-1.0882658004760515
