clip_uid,official_split,analysis_role,event_family,action_type,difficulty,dive_score,open_set,reference_baseline,predicted_quality,phi_takeoff,occlusion_takeoff,duration_contribution_takeoff,phi_flight,occlusion_flight,duration_contribution_flight,phi_entry,occlusion_entry,duration_contribution_entry,top_phase,actual_max_intervention_phase,top_phase_intervention_match,targeted_intervention_effect,random_intervention_effect,reconstruction_error,scorer_alignment_error,phase_boundary_cosine,phase_boundary_top_match,reference_change_cosine,coalition_0,coalition_1,coalition_2,coalition_3,coalition_4,coalition_5,coalition_6,coalition_7,targeted_minus_random,targeted_effect,mean_nonselected_effect,strongest_nonselected_effect,loo_reconstruction_error
01::1,test,official_test,01,407c,3.2,88.0,False,8.352567,8.837064,0.09975513,0.09994125,0.0538330078125,0.025378546,0.026582718,0.107666015625,0.3593634,0.34498405,0.322998046875,entry,entry,True,0.3449840545654297,0.3449840545654297,0.0,4.3213367462158203e-07,0.99471277,1.0,0.972768,8.352567,8.450572,8.375177,8.49208,8.724746,8.810481,8.737123,8.837064,0.0,0.3449840545654297,0.0632619857788086,0.09994125366210938,0.012989044189453125
01::8,test,official_test,01,6245d,3.6,77.4,False,7.295438,7.602175,0.14503288,0.14456034,0.06816387176513672,0.037026405,0.012862682,0.06816387176513672,0.124678135,0.1045413,0.1704096794128418,takeoff,takeoff,True,0.1445603370666504,0.1445603370666504,0.0,0.0,0.7459439,0.5,-0.4740694,7.295438,7.443519,7.359204,7.497634,7.4428287,7.5893126,7.457615,7.602175,0.0,0.1445603370666504,0.05870199203491211,0.10454130172729492,0.044773101806640625
01::9,test,official_test,01,107b,3.0,61.5,False,6.640008,6.6613917,0.29595003,0.3465891,0.00950389438205295,0.067224346,0.119170666,0.004751947191026475,-0.3417906,-0.28392553,0.007127920786539713,entry,takeoff,False,0.28392553329467773,0.3465890884399414,0.0,1.7881393432617188e-07,0.9482715,0.5,0.987187,6.640008,6.9030337,6.673001,6.9453173,6.258067,6.542221,6.3148026,6.6613917,-0.06266355514526367,0.28392553329467773,0.2328798770904541,0.3465890884399414,0.16045045852661133
01::11,test,official_test,01,107b,3.0,72.0,False,7.9094453,7.9780393,-0.045943182,-0.1487689,0.030486212836371526,0.0651234,0.04084015,0.022864659627278645,0.04941376,0.10645628,0.015243106418185763,flight,takeoff,False,0.04084014892578125,0.14876890182495117,0.0,6.705522537231445e-08,0.6061875,0.5,-0.14827125,7.9094453,7.941198,7.973722,7.871583,7.8766866,7.937199,8.126808,7.9780393,-0.10792875289916992,0.04084014892578125,0.12761259078979492,0.14876890182495117,0.07006645202636719
01::15,test,official_test,01,107b,3.0,76.5,False,8.039658,7.9510975,-0.08360648,-0.12665558,-0.029520034790039062,-0.02638483,-0.045804977,-0.029520034790039062,0.021431208,0.0059485435,-0.029520034790039062,takeoff,takeoff,True,0.12665557861328125,0.005948543548583984,0.0,1.1175870895385742e-07,0.9216197,1.0,-0.5337365,8.039658,7.983851,8.017444,7.945149,8.061322,7.9969025,8.077753,7.9510975,0.12070703506469727,0.12665557861328125,0.025876760482788086,0.04580497741699219,0.07795190811157227
01::17,test,official_test,01,5152b,2.9,72.5,False,8.129551,8.299691,0.11271397,0.07031727,0.05671342213948567,0.00040976205,-0.030719757,0.05671342213948567,0.057016533,0.02416706,0.05671342213948567,takeoff,takeoff,True,0.07031726837158203,0.030719757080078125,0.0,4.470348358154297e-07,0.40243638,0.5,0.85405475,8.129551,8.269226,8.145655,8.275524,8.203981,8.330411,8.229374,8.299691,0.039597511291503906,0.07031726837158203,0.027443408966064453,0.030719757080078125,0.10637569427490234
01::21,test,official_test,01,109c,3.7,81.4,False,6.614813,7.0568323,0.73007697,0.8609967,0.1473398208618164,0.1601445,0.21487427,0.1473398208618164,-0.44820198,-0.30955648,0.1473398208618164,takeoff,takeoff,True,0.8609967231750488,0.3095564842224121,0.0,1.1920928955078125e-07,0.9199585,0.5,0.9971167,6.614813,7.2494683,6.755726,7.366389,6.0634637,6.841958,6.1958356,7.0568323,0.5514402389526367,0.8609967231750488,0.26221537590026855,0.3095564842224121,0.3242950439453125
01::45,test,official_test,01,5156b,3.8,81.7,False,7.05549,7.2247915,0.1489137,0.116910934,0.037622557746039495,0.07177933,0.06970072,0.037622557746039495,-0.051391523,-0.061888218,0.09405639436509874,takeoff,takeoff,True,0.11691093444824219,0.06188821792602539,0.0,2.086162567138672e-07,0.8966898,0.5,-0.1830715,7.05549,7.2288303,7.121772,7.2866797,7.007019,7.155091,7.1078806,7.2247915,0.0550227165222168,0.11691093444824219,0.06579446792602539,0.06970071792602539,0.04457807540893555
01::54,test,official_test,01,6243d,3.2,81.6,False,8.57609,8.77782,0.030117035,0.028601646,0.06724325815836588,0.020800114,0.020192146,0.06724325815836588,0.15081263,0.1482935,0.06724325815836588,entry,entry,True,0.14829349517822266,0.028601646423339844,0.0,2.2351741790771484e-08,0.35890135,0.5,0.95168835,8.57609,8.610394,8.600169,8.629526,8.732093,8.7576275,8.749218,8.77782,0.11969184875488281,0.14829349517822266,0.024396896362304688,0.028601646423339844,0.004642486572265625
01::56,test,official_test,01,407b,3.5,71.75,False,8.07085,6.5870085,-0.04297884,-0.06207466,-0.16487132178412542,0.16731898,0.3262267,-0.4946139653523763,-1.6081821,-1.4339514,-0.8243566089206272,entry,entry,True,1.4339513778686523,0.06207466125488281,0.0,1.1920928955078125e-07,0.9974282,1.0,1.0,8.07085,8.035676,8.06797,8.02096,6.2771463,6.260782,6.649083,6.5870085,1.3718767166137695,1.4339513778686523,0.19415068626403809,0.32622671127319336,0.3140425682067871
01::66,test,official_test,01,207b,3.6,100.8,False,8.203345,8.64458,-0.017073631,-0.006463051,0.04902606540256076,-0.024560452,-0.008114815,0.14707819620768228,0.48286867,0.49054718,0.24513032701280382,entry,entry,True,0.49054718017578125,0.006463050842285156,0.0,7.450580596923828e-09,0.9881214,1.0,0.9995018,8.203345,8.173508,8.160186,8.154033,8.676382,8.652695,8.651043,8.64458,0.4840841293334961,0.49054718017578125,0.007288932800292969,0.008114814758300781,0.03473472595214844
01::68,test,official_test,01,109c,3.7,83.25,False,8.197263,8.3358345,0.022316137,-0.02189064,0.04619057973225911,-0.08302387,-0.06379604,0.04619057973225911,0.19927947,0.17973518,0.04619057973225911,entry,entry,True,0.1797351837158203,0.0637960433959961,0.0,1.043081283569336e-07,0.1185909,0.5,0.9605912,8.197263,8.263557,8.094783,8.156099,8.415858,8.399631,8.357725,8.3358345,0.11593914031982422,0.1797351837158203,0.04284334182739258,0.0637960433959961,0.04452323913574219
01::74,test,official_test,01,6245d,3.6,57.6,False,8.375792,8.07012,0.004510959,0.0068683624,-0.13585408528645831,-0.36202088,-0.30548573,-0.10189056396484375,0.051838238,0.09984827,-0.06792704264322916,flight,flight,True,0.30548572540283203,0.09984827041625977,0.0,4.172325134277344e-07,0.1467006,0.0,0.22723503,8.375792,8.383143,7.962434,7.9702716,8.384818,8.375606,8.0632515,8.07012,0.20563745498657227,0.30548572540283203,0.05335831642150879,0.09984827041625977,0.1069025993347168
01::77,test,official_test,01,626c,3.3,75.9,False,8.0860405,8.083139,0.17294519,0.1844759,-0.0009670257568359375,0.010007541,0.0064992905,-0.0009670257568359375,-0.1858538,-0.16946316,-0.0009670257568359375,entry,takeoff,False,0.1694631576538086,0.18447589874267578,0.0,3.725290298461914e-07,0.94608337,1.0,0.68693864,8.0860405,8.247102,8.099203,8.252603,7.883443,8.07664,7.8986635,8.083139,-0.015012741088867188,0.1694631576538086,0.09548759460449219,0.18447589874267578,0.024413108825683594
01::80,test,official_test,01,207c,3.3,64.35,False,7.2135267,7.594911,-0.05146885,-0.05198908,0.042376041412353516,0.17299867,0.1566205,0.12712812423706055,0.25985456,0.24746132,0.21188020706176758,entry,entry,True,0.24746131896972656,0.051989078521728516,0.0,1.9371509552001953e-07,0.79841185,0.5,0.9937096,7.2135267,7.1614122,7.4017377,7.34745,7.4846087,7.4382906,7.6469,7.594911,0.19547224044799805,0.24746131896972656,0.10430479049682617,0.15662050247192383,0.029291629791259766
01::90,test,official_test,01,307c,3.4,94.05,False,8.659338,8.539617,-0.01075999,-0.006822586,-0.02660475836859809,-0.008117358,-0.0016241074,-0.05320951673719618,-0.10084406,-0.095202446,-0.03990713755289713,entry,entry,True,0.09520244598388672,0.0016241073608398438,0.0,9.685754776000977e-08,0.6324946,0.5,-0.99690914,8.659338,8.644376,8.644463,8.634819,8.5525875,8.541241,8.546439,8.539617,0.09357833862304688,0.09520244598388672,0.004223346710205078,0.0068225860595703125,0.01607227325439453
01::100,test,official_test,01,307c,3.4,74.25,False,7.8450813,8.268432,0.021944284,0.023703575,0.09407785203721787,0.09387493,0.09451103,0.09407785203721787,0.30753112,0.31164455,0.23519463009304473,entry,entry,True,0.3116445541381836,0.023703575134277344,0.0,1.6391277313232422e-07,0.9635738,1.0,0.9832076,7.8450813,7.8666306,7.9396844,7.956787,8.149863,8.173921,8.244728,8.268432,0.28794097900390625,0.3116445541381836,0.059107303619384766,0.09451103210449219,0.006508827209472656
01::102,test,official_test,01,207c,3.3,37.95,False,6.8189898,7.191357,0.13037689,0.14823866,0.08274830712212457,0.031268913,0.05804062,0.16549661424424914,0.21072157,0.21849346,0.12412246068318684,entry,entry,True,0.21849346160888672,0.1482386589050293,0.0,1.341104507446289e-07,0.32108238,0.0,0.51927257,6.8189898,6.927888,6.81987,6.9728637,7.0183225,7.1333165,7.0431185,7.191357,0.07025480270385742,0.21849346160888672,0.10313963890075684,0.1482386589050293,0.052405357360839844
01::103,test,official_test,01,6243d,3.2,64.0,False,6.798425,6.8298907,0.19423015,0.20761299,0.010488510131835938,0.0015247663,0.0049672127,0.010488510131835938,-0.1642894,-0.15132332,0.010488510131835938,takeoff,takeoff,True,0.2076129913330078,0.2076129913330078,0.0,1.7881393432617188e-07,0.7619574,0.0,0.9237444,6.798425,6.977392,6.794627,6.981214,6.6192894,6.8249235,6.6222777,6.8298907,0.0,0.2076129913330078,0.07814526557922363,0.1513233184814453,0.02979135513305664
