clip_uid,feature_key,source,instance,event_family,official_split,action_type,action_group,difficulty,dive_score,execution_quality,judge_count,judge_scores_json,start_frame,end_frame,frame_count,transition_frames_json,frame_labels_json,subactions_json,splash_path,splash_exists,analysis_role,source_role,judge_label_valid,judge_invalid_reason,judge_consensus_median,judge_sample_sd,judge_pairwise_abs,judge_official_aggregate,judge_aggregate_abs_error,disagreement_primary_eligible,disagreement_supplemental_eligible
01::1,e1de0d5faab8394b7458,01,1,01,test,407c,4,3.2,88.0,9.166666666666666,7,"[9.5,9.0,9.5,9.0,8.5,9.5,8.5]",7378,7462,85,"[2,34]","[4,4,4,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""36"":""Entry"",""4"":""Inward""}",D:\code\papers\data\datasets\splash_data\01\1.pkl,True,official_test,source_fit,True,valid,9.0,0.4498677054212186,0.5238095238095238,9.166666666666666,0.0,True,False
01::8,36657689632bcc80c3a9,01,8,01,test,6245d,6,3.6,77.4,7.166666666666667,7,"[7.0,7.0,7.0,7.5,8.0,7.0,7.5]",16986,17113,128,"[35,61,70]","[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,14,14,14,14,14,14,14,14,14,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""14"":""2 Soms.Pike"",""33"":""2.5 Twists"",""36"":""Entry"",""6"":""Arm.Back""}",D:\code\papers\data\datasets\splash_data\01\8.pkl,True,official_test,source_fit,True,valid,7.0,0.3933978962347216,0.42857142857142855,7.166666666666667,0.0,True,False
01::9,dbeea903aa0cf7d542a5,01,9,01,test,107b,1,3.0,61.5,6.833333333333333,7,"[7.0,7.5,6.5,7.0,7.0,6.5,6.5]",18194,18346,153,"[67,103]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""17"":""3.5 Soms.Pike"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\9.pkl,True,official_test,source_fit,True,valid,7.0,0.37796447300922725,0.42857142857142855,6.833333333333333,0.0,True,False
01::11,497d16678ff3a771fa25,01,11,01,test,107b,1,3.0,72.0,8.0,7,"[7.5,8.5,8.0,8.0,7.5,8.0,8.0]",20800,20944,145,"[67,105]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""17"":""3.5 Soms.Pike"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\11.pkl,True,official_test,source_fit,True,valid,8.0,0.34503277967117707,0.38095238095238093,8.0,0.0,True,False
01::15,e6917888e5d969fba876,01,15,01,test,107b,1,3.0,76.5,8.5,7,"[8.0,8.5,8.5,8.5,8.0,9.0,8.5]",26450,26589,140,"[55,94]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""17"":""3.5 Soms.Pike"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\15.pkl,True,official_test,source_fit,True,valid,8.5,0.34503277967117707,0.38095238095238093,8.5,0.0,True,False
01::17,26d2e9448337c275cd98,01,17,01,test,5152b,5,2.9,72.5,8.333333333333334,7,"[8.0,8.5,8.5,8.0,8.5,8.5,8.0]",28949,29076,128,"[51,54,63,89]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,30,30,30,30,30,30,30,30,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""15"":""2.5 Soms.Pike"",""30"":""1 Twist"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\17.pkl,True,official_test,source_fit,True,valid,8.5,0.2672612419124244,0.2857142857142857,8.333333333333334,0.0,True,False
01::21,c7973a3616cda92c709f,01,21,01,test,109c,1,3.7,81.4,7.333333333333333,7,"[7.5,7.5,6.5,7.5,7.0,8.0,6.5]",34816,34963,148,"[59,99]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""27"":""4.5 Soms.Tuck"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\21.pkl,True,official_test,source_fit,True,valid,7.5,0.5669467095138409,0.6666666666666666,7.333333333333333,0.0,True,False
01::33,6355025b9da6166c0b00,01,33,01,test,636c,6,3.4,91.8,9.0,7,"[9.0,9.0,9.0,9.0,8.0,9.0,8.5]",53432,53528,97,"[15,51]","[7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""24"":""3 Soms.Tuck"",""36"":""Entry"",""7"":""Arm.Reverse""}",D:\code\papers\data\datasets\splash_data\01\33.pkl,True,official_test,source_fit,True,valid,9.0,0.3933978962347216,0.38095238095238093,9.0,0.0,True,False
01::45,1201a225ab528ca5137f,01,45,01,test,5156b,5,3.8,81.7,7.166666666666668,7,"[7.0,7.5,6.5,7.0,6.5,7.5,8.0]",69610,69722,113,"[23,27,51,60]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,15,15,15,15,15,15,15,15,15,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""15"":""2.5 Soms.Pike"",""34"":""3 Twists"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\45.pkl,True,official_test,source_fit,True,valid,7.0,0.5563486402641868,0.6666666666666666,7.166666666666667,8.881784197001252e-16,True,False
01::54,c884f0e41f6181950ffe,01,54,01,test,6243d,6,3.2,81.6,8.499999999999998,7,"[8.5,8.5,8.5,8.5,8.5,9.0,8.5]",82137,82253,117,"[47,65,77]","[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,14,14,14,14,14,14,14,14,14,14,14,14,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""14"":""2 Soms.Pike"",""31"":""1.5 Twists"",""36"":""Entry"",""6"":""Arm.Back""}",D:\code\papers\data\datasets\splash_data\01\54.pkl,True,official_test,source_fit,True,valid,8.5,0.1889822365046136,0.14285714285714285,8.5,1.7763568394002505e-15,True,False
