clip_uid,analysis_role,valid_reference_count,open_set,reference_distance,reference_dispersion
01::1,official_test,5,False,4.2047094e-07,0.2482483
01::8,official_test,5,False,5.7272796e-06,0.2440639
01::9,official_test,5,False,3.5234447e-07,0.39579472
01::11,official_test,5,False,1.1985098e-07,0.3696825
01::15,official_test,5,False,3.596326e-08,0.4612241
01::17,official_test,5,False,5.229739e-07,0.5796706
01::21,official_test,5,False,1.0632807e-06,0.3757712
01::33,official_test,2,True,0.00031792678,2.4902308
01::45,official_test,5,False,1.8400378e-06,0.5225697
01::54,official_test,5,False,1.3435181e-06,0.21055353
01::56,official_test,4,False,6.762148e-05,0.6092746
01::66,official_test,5,False,6.282837e-07,0.2418704
01::68,official_test,5,False,4.2738301e-07,0.49600637
01::74,official_test,5,False,8.266799e-07,0.27386552
01::77,official_test,5,False,1.6936655e-06,0.34240514
01::80,official_test,5,False,4.8457696e-07,0.48396358
01::90,official_test,5,False,-5.276285e-08,0.2649104
01::100,official_test,5,False,8.685521e-08,0.48192158
01::102,official_test,5,False,6.3512664e-07,0.23645245
01::103,official_test,5,False,2.4699561e-06,0.6115265
01::115,official_test,5,False,1.9269069e-07,0.17519623
01::117,official_test,5,False,1.5511947e-05,0.45754948
01::118,official_test,5,False,1.915934e-09,0.2944266
01::120,official_test,5,False,4.9953513e-07,0.24708003
01::123,official_test,5,False,1.2685868e-07,0.17080946
01::126,official_test,5,False,3.0147373e-06,0.45380706
01::131,official_test,5,False,2.269158e-07,0.0889815
01::133,official_test,5,False,2.1522837e-06,0.3263151
01::135,official_test,5,False,6.364177e-07,0.18975726
01::139,official_test,5,False,4.2428837e-07,0.36785644
01::142,official_test,5,False,2.372436e-05,0.35121682
01::144,official_test,2,True,1.1240712e-06,0.33289447
01::153,official_test,5,False,3.2260268e-06,0.5050984
01::157,official_test,5,False,0.0006926385,0.33911613
01::161,official_test,5,False,1.9828147e-07,0.28619608
01::162,official_test,5,False,3.506635e-07,0.30547917
01::167,official_test,5,False,4.260495e-07,0.31023103
01::169,official_test,5,False,6.896378e-07,0.2711689
01::171,official_test,5,False,3.5421903e-07,0.38031223
01::177,official_test,2,True,3.793418e-05,0.33307567
01::182,official_test,5,False,6.20118e-07,0.29878193
02::5,official_test,5,False,4.7968285e-07,0.17927256
02::6,official_test,5,False,3.2341452e-06,0.10875565
02::14,official_test,5,False,1.4260572e-06,0.1231464
02::18,official_test,5,False,2.9939832e-07,0.4057256
02::19,official_test,5,False,3.448114e-08,0.35672507
02::26,official_test,5,False,2.721137e-07,0.12852387
02::27,official_test,5,False,6.6486535e-08,0.43666568
02::42,official_test,5,False,5.3050456e-07,0.2742077
02::46,official_test,5,False,2.0122215e-07,0.27142608
02::56,official_test,2,True,5.5053765e-06,0.08306348
02::61,official_test,5,False,1.1081403e-07,0.31907764
02::66,official_test,5,False,1.71666e-06,0.123134226
02::67,official_test,5,False,1.42072195e-05,0.39764243
02::69,official_test,5,False,2.6953586e-07,0.23175201
02::86,official_test,5,False,2.1089629e-07,0.3519214
02::89,official_test,5,False,4.534067e-06,0.5546471
02::97,official_test,5,False,1.1806878e-06,0.6858989
02::99,official_test,5,False,2.5177908e-07,0.346014
02::100,official_test,5,False,5.404223e-06,0.30577335
02::108,official_test,5,False,1.1373684e-06,0.4735182
03::4,official_test,5,False,3.494972e-07,0.3530153
03::5,official_test,5,False,1.4852343e-07,0.2661536
03::8,official_test,5,False,2.2247818e-06,0.34412804
03::10,official_test,5,False,2.6165463e-07,0.30511513
03::13,official_test,5,False,9.6655846e-08,0.36295566
03::15,official_test,5,False,1.0491703e-07,0.22426492
03::18,official_test,5,False,1.255923e-07,0.46737534
03::20,official_test,5,False,1.772188e-07,0.37721175
03::23,official_test,5,False,3.7381537e-07,0.39980796
03::31,official_test,5,False,1.325885e-07,0.23911054
03::37,official_test,5,False,7.795817e-08,0.41386452
03::46,official_test,5,False,1.7978753e-07,0.5091172
03::51,official_test,5,False,1.9271808e-07,0.17923196
03::66,official_test,5,False,2.7332734e-07,0.26718572
03::70,official_test,5,False,2.64199e-08,0.3679666
03::71,official_test,5,False,4.078965e-07,0.2619019
04::6,official_test,5,False,7.1226395e-07,0.21438234
04::7,official_test,5,False,9.500566e-08,0.22610152
04::8,official_test,5,False,4.2552432e-07,0.3043933
04::9,official_test,5,False,3.8893304e-06,4.0537316e-16
04::16,official_test,5,False,3.6362493e-07,0.4069996
04::34,official_test,5,False,7.8638936e-07,0.371203
04::36,official_test,5,False,2.901665e-07,0.29153052
04::40,official_test,5,False,4.5257553e-07,0.25320345
04::47,official_test,5,False,1.8855484e-05,0.58941364
04::50,official_test,5,False,2.4177e-05,0.78319395
04::55,official_test,5,False,5.036382e-06,0.48465675
04::59,official_test,5,False,5.0190573e-07,0.50810534
04::60,official_test,5,False,8.164046e-07,0.35217047
04::63,official_test,5,False,0.00011171086,0.75259286
