case_type,role,clip_uid,phase,within_phase_order,frame_index_in_trimmed_clip,archive_member,global_adjustment,local_adjustment
typical_accurate,query,09::17,takeoff,0,5,FINADiving_MTL_256s/09/17/00031945.jpg,none,False
typical_accurate,query,09::17,takeoff,1,10,FINADiving_MTL_256s/09/17/00031950.jpg,none,False
typical_accurate,query,09::17,takeoff,2,14,FINADiving_MTL_256s/09/17/00031954.jpg,none,False
typical_accurate,query,09::17,flight,0,26,FINADiving_MTL_256s/09/17/00031966.jpg,none,False
typical_accurate,query,09::17,flight,1,32,FINADiving_MTL_256s/09/17/00031972.jpg,none,False
typical_accurate,query,09::17,flight,2,38,FINADiving_MTL_256s/09/17/00031978.jpg,none,False
typical_accurate,query,09::17,entry,0,56,FINADiving_MTL_256s/09/17/00031996.jpg,none,False
typical_accurate,query,09::17,entry,1,68,FINADiving_MTL_256s/09/17/00032008.jpg,none,False
typical_accurate,query,09::17,entry,2,79,FINADiving_MTL_256s/09/17/00032019.jpg,none,False
typical_accurate,reference,07::21,takeoff,0,4,FINADiving_MTL_256s/07/21/00033933.jpg,none,False
typical_accurate,reference,07::21,takeoff,1,8,FINADiving_MTL_256s/07/21/00033937.jpg,none,False
typical_accurate,reference,07::21,takeoff,2,13,FINADiving_MTL_256s/07/21/00033942.jpg,none,False
typical_accurate,reference,07::21,flight,0,24,FINADiving_MTL_256s/07/21/00033953.jpg,none,False
typical_accurate,reference,07::21,flight,1,30,FINADiving_MTL_256s/07/21/00033959.jpg,none,False
typical_accurate,reference,07::21,flight,2,35,FINADiving_MTL_256s/07/21/00033964.jpg,none,False
typical_accurate,reference,07::21,entry,0,52,FINADiving_MTL_256s/07/21/00033981.jpg,none,False
typical_accurate,reference,07::21,entry,1,62,FINADiving_MTL_256s/07/21/00033991.jpg,none,False
typical_accurate,reference,07::21,entry,2,73,FINADiving_MTL_256s/07/21/00034002.jpg,none,False
high_disagreement_gain,query,07::46,takeoff,0,1,FINADiving_MTL_256s/07/46/00068658.jpg,none,False
high_disagreement_gain,query,07::46,takeoff,1,2,FINADiving_MTL_256s/07/46/00068659.jpg,none,False
high_disagreement_gain,query,07::46,takeoff,2,4,FINADiving_MTL_256s/07/46/00068661.jpg,none,False
high_disagreement_gain,query,07::46,flight,0,14,FINADiving_MTL_256s/07/46/00068671.jpg,none,False
high_disagreement_gain,query,07::46,flight,1,21,FINADiving_MTL_256s/07/46/00068678.jpg,none,False
high_disagreement_gain,query,07::46,flight,2,28,FINADiving_MTL_256s/07/46/00068685.jpg,none,False
high_disagreement_gain,query,07::46,entry,0,46,FINADiving_MTL_256s/07/46/00068703.jpg,none,False
high_disagreement_gain,query,07::46,entry,1,56,FINADiving_MTL_256s/07/46/00068713.jpg,none,False
high_disagreement_gain,query,07::46,entry,2,65,FINADiving_MTL_256s/07/46/00068722.jpg,none,False
high_disagreement_gain,reference,01::63,takeoff,0,6,FINADiving_MTL_256s/01/63/00094819.jpg,none,False
high_disagreement_gain,reference,01::63,takeoff,1,12,FINADiving_MTL_256s/01/63/00094825.jpg,none,False
high_disagreement_gain,reference,01::63,takeoff,2,18,FINADiving_MTL_256s/01/63/00094831.jpg,none,False
high_disagreement_gain,reference,01::63,flight,0,33,FINADiving_MTL_256s/01/63/00094846.jpg,none,False
high_disagreement_gain,reference,01::63,flight,1,40,FINADiving_MTL_256s/01/63/00094853.jpg,none,False
high_disagreement_gain,reference,01::63,flight,2,48,FINADiving_MTL_256s/01/63/00094861.jpg,none,False
high_disagreement_gain,reference,01::63,entry,0,71,FINADiving_MTL_256s/01/63/00094884.jpg,none,False
high_disagreement_gain,reference,01::63,entry,1,86,FINADiving_MTL_256s/01/63/00094899.jpg,none,False
high_disagreement_gain,reference,01::63,entry,2,100,FINADiving_MTL_256s/01/63/00094913.jpg,none,False
scoring_failure,query,FINAWorldChampionships2019_Women3mSynchronised_final_r3::11,takeoff,0,9,FINADiving_MTL_256s/FINAWorldChampionships2019_Women3mSynchronised_final_r3/11/18019.jpg,none,False
scoring_failure,query,FINAWorldChampionships2019_Women3mSynchronised_final_r3::11,takeoff,1,18,FINADiving_MTL_256s/FINAWorldChampionships2019_Women3mSynchronised_final_r3/11/18028.jpg,none,False
scoring_failure,query,FINAWorldChampionships2019_Women3mSynchronised_final_r3::11,takeoff,2,26,FINADiving_MTL_256s/FINAWorldChampionships2019_Women3mSynchronised_final_r3/11/18036.jpg,none,False
scoring_failure,query,FINAWorldChampionships2019_Women3mSynchronised_final_r3::11,flight,0,43,FINADiving_MTL_256s/FINAWorldChampionships2019_Women3mSynchronised_final_r3/11/18053.jpg,none,False
scoring_failure,query,FINAWorldChampionships2019_Women3mSynchronised_final_r3::11,flight,1,50,FINADiving_MTL_256s/FINAWorldChampionships2019_Women3mSynchronised_final_r3/11/18060.jpg,none,False
scoring_failure,query,FINAWorldChampionships2019_Women3mSynchronised_final_r3::11,flight,2,57,FINADiving_MTL_256s/FINAWorldChampionships2019_Women3mSynchronised_final_r3/11/18067.jpg,none,False
scoring_failure,query,FINAWorldChampionships2019_Women3mSynchronised_final_r3::11,entry,0,74,FINADiving_MTL_256s/FINAWorldChampionships2019_Women3mSynchronised_final_r3/11/18084.jpg,none,False
scoring_failure,query,FINAWorldChampionships2019_Women3mSynchronised_final_r3::11,entry,1,82,FINADiving_MTL_256s/FINAWorldChampionships2019_Women3mSynchronised_final_r3/11/18092.jpg,none,False
scoring_failure,query,FINAWorldChampionships2019_Women3mSynchronised_final_r3::11,entry,2,91,FINADiving_MTL_256s/FINAWorldChampionships2019_Women3mSynchronised_final_r3/11/18101.jpg,none,False
scoring_failure,reference,17::128,takeoff,0,12,FINADiving_MTL_256s/17/128/00170666.jpg,none,False
scoring_failure,reference,17::128,takeoff,1,24,FINADiving_MTL_256s/17/128/00170678.jpg,none,False
scoring_failure,reference,17::128,takeoff,2,35,FINADiving_MTL_256s/17/128/00170689.jpg,none,False
scoring_failure,reference,17::128,flight,0,55,FINADiving_MTL_256s/17/128/00170709.jpg,none,False
scoring_failure,reference,17::128,flight,1,62,FINADiving_MTL_256s/17/128/00170716.jpg,none,False
scoring_failure,reference,17::128,flight,2,68,FINADiving_MTL_256s/17/128/00170722.jpg,none,False
scoring_failure,reference,17::128,entry,0,81,FINADiving_MTL_256s/17/128/00170735.jpg,none,False
scoring_failure,reference,17::128,entry,1,86,FINADiving_MTL_256s/17/128/00170740.jpg,none,False
scoring_failure,reference,17::128,entry,2,91,FINADiving_MTL_256s/17/128/00170745.jpg,none,False
boundary_sensitive,query,17::160,takeoff,0,12,FINADiving_MTL_256s/17/160/00215310.jpg,none,False
boundary_sensitive,query,17::160,takeoff,1,24,FINADiving_MTL_256s/17/160/00215322.jpg,none,False
boundary_sensitive,query,17::160,takeoff,2,36,FINADiving_MTL_256s/17/160/00215334.jpg,none,False
boundary_sensitive,query,17::160,flight,0,56,FINADiving_MTL_256s/17/160/00215354.jpg,none,False
boundary_sensitive,query,17::160,flight,1,62,FINADiving_MTL_256s/17/160/00215360.jpg,none,False
boundary_sensitive,query,17::160,flight,2,69,FINADiving_MTL_256s/17/160/00215367.jpg,none,False
boundary_sensitive,query,17::160,entry,0,82,FINADiving_MTL_256s/17/160/00215380.jpg,none,False
boundary_sensitive,query,17::160,entry,1,88,FINADiving_MTL_256s/17/160/00215386.jpg,none,False
boundary_sensitive,query,17::160,entry,2,93,FINADiving_MTL_256s/17/160/00215391.jpg,none,False
boundary_sensitive,reference,FINADivingWorldCup2021_Men3m_semifinal_r1::17,takeoff,0,9,FINADiving_MTL_256s/FINADivingWorldCup2021_Men3m_semifinal_r1/17/22509.jpg,none,False
boundary_sensitive,reference,FINADivingWorldCup2021_Men3m_semifinal_r1::17,takeoff,1,18,FINADiving_MTL_256s/FINADivingWorldCup2021_Men3m_semifinal_r1/17/22518.jpg,none,False
boundary_sensitive,reference,FINADivingWorldCup2021_Men3m_semifinal_r1::17,takeoff,2,26,FINADiving_MTL_256s/FINADivingWorldCup2021_Men3m_semifinal_r1/17/22526.jpg,none,False
boundary_sensitive,reference,FINADivingWorldCup2021_Men3m_semifinal_r1::17,flight,0,46,FINADiving_MTL_256s/FINADivingWorldCup2021_Men3m_semifinal_r1/17/22546.jpg,none,False
boundary_sensitive,reference,FINADivingWorldCup2021_Men3m_semifinal_r1::17,flight,1,57,FINADiving_MTL_256s/FINADivingWorldCup2021_Men3m_semifinal_r1/17/22557.jpg,none,False
boundary_sensitive,reference,FINADivingWorldCup2021_Men3m_semifinal_r1::17,flight,2,68,FINADiving_MTL_256s/FINADivingWorldCup2021_Men3m_semifinal_r1/17/22568.jpg,none,False
boundary_sensitive,reference,FINADivingWorldCup2021_Men3m_semifinal_r1::17,entry,0,84,FINADiving_MTL_256s/FINADivingWorldCup2021_Men3m_semifinal_r1/17/22584.jpg,none,False
boundary_sensitive,reference,FINADivingWorldCup2021_Men3m_semifinal_r1::17,entry,1,90,FINADiving_MTL_256s/FINADivingWorldCup2021_Men3m_semifinal_r1/17/22590.jpg,none,False
boundary_sensitive,reference,FINADivingWorldCup2021_Men3m_semifinal_r1::17,entry,2,95,FINADiving_MTL_256s/FINADivingWorldCup2021_Men3m_semifinal_r1/17/22595.jpg,none,False
reference_sensitive,query,FINADivingWorldCup2021_Men10m_semifinal_r5::11,takeoff,0,6,FINADiving_MTL_256s/FINADivingWorldCup2021_Men10m_semifinal_r5/11/15940.jpg,none,False
reference_sensitive,query,FINADivingWorldCup2021_Men10m_semifinal_r5::11,takeoff,1,11,FINADiving_MTL_256s/FINADivingWorldCup2021_Men10m_semifinal_r5/11/15945.jpg,none,False
reference_sensitive,query,FINADivingWorldCup2021_Men10m_semifinal_r5::11,takeoff,2,16,FINADiving_MTL_256s/FINADivingWorldCup2021_Men10m_semifinal_r5/11/15950.jpg,none,False
reference_sensitive,query,FINADivingWorldCup2021_Men10m_semifinal_r5::11,flight,0,34,FINADiving_MTL_256s/FINADivingWorldCup2021_Men10m_semifinal_r5/11/15968.jpg,none,False
